customer_id,ticket_id,ticket_category,ticket_text,priority,created_at,sentiment_score,sentiment_label
1,837306,Account,Pricing has increased 20% but we haven't seen any new features in months.,High,31/05/2025,-0.4118,Negative
1,583687,Account,Too many clicks to reach the main dashboard. UX is frustrating.,High,16/01/2025,-0.4215,Negative
1,698377,Account,The new automated workflow saved our team 10 hours this week!,Low,16/01/2025,0.4753,Positive
1,259139,Account,Our procurement department is questioning the ROI of this contract.,High,29/01/2025,-0.1027,Negative
2,810803,Account,The custom reporting tool is a game changer for our QBRs.,Low,18/02/2025,0.75,Positive
2,386671,Technical,Best-in-class API documentation. We got up and running in a day.,Low,03/04/2025,0.75,Positive
3,765140,Account,Our procurement department is questioning the ROI of this contract.,Low,02/04/2025,-0.1027,Negative
3,130533,Account,Where can I find the invoice for March 2025?,Low,09/03/2025,0.0,Neutral
4,684556,Account,UI is extremely sluggish when loading large datasets. Unusable for our team.,High,30/03/2025,-0.4576,Negative
4,465560,Account,The new automated workflow saved our team 10 hours this week!,Low,06/04/2025,0.4753,Positive
5,365289,Account,The latest feature release is exactly what we were looking for.,Low,02/04/2025,0.75,Positive
6,169699,Account,Quick question about the upcoming webinar schedule.,Low,15/03/2025,0.0,Neutral
7,742604,Technical,Best-in-class API documentation. We got up and running in a day.,Low,20/04/2025,0.75,Positive
8,151159,Account,Our procurement department is questioning the ROI of this contract.,Low,07/04/2025,-0.1027,Negative
9,256975,Account,The new automated workflow saved our team 10 hours this week!,Low,25/03/2025,0.4753,Positive
9,608834,Technical,The Salesforce integration is dropping leads; this is costing us revenue.,Low,15/04/2025,-0.75,Negative
9,780649,Account,Really appreciate the proactive check-in from our Success Manager.,Low,14/01/2025,0.8676,Positive
10,317138,Technical,The Salesforce integration is dropping leads; this is costing us revenue.,Low,24/04/2025,-0.75,Negative
10,342975,Account,Our procurement department is questioning the ROI of this contract.,Low,04/05/2025,-0.1027,Negative
10,524741,Account,The mobile app is crashing on startup after the iOS update.,Low,16/01/2025,-0.75,Negative
10,116354,Account,Really appreciate the proactive check-in from our Success Manager.,Low,15/02/2025,0.8676,Positive
11,892271,Account,Really appreciate the proactive check-in from our Success Manager.,Low,25/04/2025,0.8676,Positive
12,715178,Account,Can you provide the IP range for whitelisting?,Low,20/02/2025,0.0,Neutral
12,318272,Account,Higher ROI than the previous vendor we used. Great value.,Low,25/04/2025,0.7579,Positive
13,591492,Account,Security audit failed due to your outdated SSO implementation.,High,06/01/2025,-0.2263,Negative
13,211184,Account,Pricing has increased 20% but we haven't seen any new features in months.,High,31/03/2025,-0.4118,Negative
13,584946,Technical,Best-in-class API documentation. We got up and running in a day.,Low,12/03/2025,0.75,Positive
13,812079,Account,Super fast load times even with our massive database.,Low,30/05/2025,0.5994,Positive
13,541033,Account,Updating our billing address who should I send this to?,Low,03/03/2025,0.0,Neutral
14,717837,Account,Really appreciate the proactive check-in from our Success Manager.,Low,09/03/2025,0.8676,Positive
14,858596,Account,Can you provide the IP range for whitelisting?,Low,08/02/2025,0.0,Neutral
